Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2022,Spring,Week 1,⁠⁠TSM,⁠⁠EG,⁠⁠TSM,12.2,Leblanc,Vex,Caitlyn,TahmKench,Akali,TwistedFate,Corki,Karma,Yuumi,Orianna,Impact,Gwen,Inspired,JarvanIV,jojopyun,Ryze,Danny,Zeri,Vulcan,Leona,Huni,Jayce,Spica,Poppy,Keaiduo,Viktor,Tactical,Senna,Shenyi,Rell
2022,Spring,Week 1,⁠⁠FLY,⁠⁠CLG,⁠⁠CLG,12.2,LeeSin,JarvanIV,Corki,Karma,Bard,TwistedFate,Zeri,Lulu,Ryze,Gangplank,Jenkins,Graves,Contractz,Trundle,Palafox,Viktor,Luger,Caitlyn,Poome,Lux,Kumo,Janna,Josedeodo,XinZhao,toucouille,Zoe,Johnsun,Jhin,aphromoo,Leona
2022,Spring,Week 1,⁠⁠TL,⁠⁠100,⁠⁠100,12.2,Karma,Ryze,Zeri,Leblanc,Gwen,TwistedFate,Corki,Caitlyn,Zilean,Graves,Bwipo,Renekton,Santorin,JarvanIV,Bjergsen,Orianna,Hans,Jinx,Eyla,Thresh,Ssumday,Ornn,Closer,XinZhao,Abbedagge,Azir,FBI,Aphelios,huhi,Leona
2022,Spring,Week 1,⁠⁠GG,⁠⁠C9,⁠⁠C9,12.2,Karma,Corki,TwistedFate,LeeSin,XinZhao,Thresh,Caitlyn,Zeri,JarvanIV,Zed,Licorice,Renekton,Pridestalkr,Qiyana,Ablazeolive,Viktor,Lost,Jhin,Olleh,Yuumi,Summit,Gnar,Blaber,Gwen,Fudge,Ivern,Berserker,Aphelios,Winsome,Sona
2022,Spring,Week 1,⁠⁠IMT,⁠⁠DIG,⁠⁠IMT,12.2,Jayce,Gwen,Thresh,Orianna,Viktor,Zeri,Renekton,Corki,TwistedFate,Ryze,FakeGod,Gragas,River,JarvanIV,Blue,Leblanc,Neo,Caitlyn,Biofrost,Lux,Revenge,Akali,Xerxe,XinZhao,PowerOfEvil,Vex,WildTurtle,Ezreal,Destiny,Karma
2022,Spring,Week 1,⁠⁠CLG,⁠⁠100,⁠⁠CLG,12.2,Graves,Janna,Karma,Thresh,Akali,Zeri,Caitlyn,Renekton,Poppy,JarvanIV,Ssumday,Gwen,Closer,XinZhao,Abbedagge,TwistedFate,FBI,Jhin,huhi,Sett,Jenkins,Kennen,Contractz,Diana,Palafox,Yasuo,Luger,Jinx,Poome,Lulu
2022,Spring,Week 1,⁠⁠TSM,⁠⁠DIG,⁠⁠DIG,12.2,Karma,Caitlyn,Corki,Renekton,XinZhao,TwistedFate,Jayce,Leblanc,Akali,Tryndamere,Huni,Graves,Spica,Poppy,Keaiduo,Ryze,Tactical,Zeri,Shenyi,Yuumi,FakeGod,Gwen,River,JarvanIV,Blue,Viktor,Neo,Aphelios,Biofrost,Thresh
2022,Spring,Week 1,⁠⁠EG,⁠⁠C9,⁠⁠EG,12.2,TwistedFate,Senna,Karma,Ryze,Renekton,Corki,Zeri,Caitlyn,Lulu,Ivern,Summit,Camille,Blaber,Olaf,Fudge,Soraka,Berserker,Aphelios,Winsome,Thresh,Impact,Tryndamere,Inspired,XinZhao,jojopyun,Viktor,Danny,Jinx,Vulcan,Leona
2022,Spring,Week 1,⁠⁠GG,⁠⁠FLY,⁠⁠GG,12.2,Ryze,Thresh,Qiyana,Jhin,Varus,Zeri,TwistedFate,Caitlyn,Viktor,Jayce,Kumo,Karma,Josedeodo,LeeSin,toucouille,Vex,Johnsun,Jinx,aphromoo,Braum,Licorice,Gwen,Pridestalkr,Zed,Ablazeolive,Corki,Lost,Aphelios,Olleh,Rakan
2022,Spring,Week 1,⁠⁠IMT,⁠⁠TL,⁠⁠TL,12.2,JarvanIV,TwistedFate,Caitlyn,Gwen,Renekton,Corki,Zeri,Karma,Irelia,Jayce,Revenge,Graves,Xerxe,Qiyana,PowerOfEvil,Viktor,WildTurtle,Aphelios,Destiny,Nautilus,Bwipo,Tryndamere,Santorin,XinZhao,Bjergsen,Zilean,Hans,Jinx,Eyla,Thresh
2022,Spring,Week 2,⁠⁠EG,⁠⁠DIG,⁠⁠DIG,12.3,Diana,Aphelios,TahmKench,Ryze,Nautilus,Zeri,JarvanIV,Gwen,Syndra,Leblanc,FakeGod,Renekton,River,XinZhao,Blue,Ahri,Neo,Caitlyn,Biofrost,Lux,Impact,Karma,Inspired,Olaf,jojopyun,Corki,Danny,Jinx,Vulcan,Leona
2022,Spring,Week 2,⁠⁠IMT,⁠⁠100,⁠⁠100,12.3,Karma,Ahri,JarvanIV,Lulu,Thresh,Zeri,Caitlyn,Gwen,Nautilus,Leona,Ssumday,Renekton,Closer,Viego,Abbedagge,Ryze,FBI,Aphelios,huhi,Sett,Revenge,Graves,Xerxe,XinZhao,PowerOfEvil,Syndra,WildTurtle,Jinx,Destiny,TahmKench
2022,Spring,Week 2,⁠⁠TL,⁠⁠C9,⁠⁠TL,12.3,Karma,Aphelios,Gwen,Leona,Gnar,Caitlyn,Zeri,XinZhao,Zilean,Ahri,Bwipo,Gragas,Santorin,Viego,Bjergsen,Corki,Hans,Jinx,Eyla,Thresh,Summit,Aatrox,Blaber,Karthus,Fudge,Irelia,Berserker,Jhin,Winsome,Rakan
2022,Spring,Week 2,⁠⁠GG,⁠⁠CLG,⁠⁠GG,12.3,Karma,Diana,Caitlyn,Ryze,Ahri,Zeri,Gwen,JarvanIV,Corki,Vex,Licorice,Renekton,Pridestalkr,XinZhao,Ablazeolive,Viktor,Lost,Aphelios,Olleh,Leona,Jenkins,Ornn,Contractz,LeeSin,Palafox,Sylas,Luger,Jinx,Poome,Thresh
2022,Spring,Week 2,⁠⁠TSM,⁠⁠FLY,⁠⁠FLY,12.3,XinZhao,Syndra,Karma,Orianna,Corki,Zeri,Ryze,Gwen,Thresh,Rell,Huni,Renekton,Spica,LeeSin,Keaiduo,Viktor,Tactical,Aphelios,Shenyi,Rakan,Kumo,Ornn,Josedeodo,JarvanIV,toucouille,Zoe,Johnsun,Jinx,aphromoo,TahmKench
2022,Spring,Week 2,⁠⁠IMT,⁠⁠C9,⁠⁠C9,12.3,Irelia,Aphelios,Caitlyn,Tryndamere,Leblanc,Ahri,Zeri,Gwen,Syndra,Corki,Revenge,Jayce,Xerxe,Viego,PowerOfEvil,Viktor,WildTurtle,Jinx,Destiny,Leona,Summit,Malphite,Blaber,XinZhao,Fudge,Zilean,Berserker,Ezreal,Winsome,Karma
2022,Spring,Week 2,⁠⁠TSM,⁠⁠GG,⁠⁠GG,12.3,JarvanIV,Karma,Yuumi,Corki,Ryze,Zeri,Gwen,Caitlyn,Syndra,Ahri,Huni,Lulu,Spica,XinZhao,Keaiduo,Vex,Tactical,Jinx,Shenyi,Rell,Licorice,Graves,Pridestalkr,Zed,Ablazeolive,Viktor,Lost,Aphelios,Olleh,Leona
2022,Spring,Week 2,⁠⁠EG,⁠⁠100,⁠⁠100,12.3,Aphelios,Caitlyn,Karma,Azir,Ahri,Zeri,Gwen,Jinx,Ryze,Corki,Impact,Graves,Inspired,XinZhao,jojopyun,Akali,Danny,Ezreal,Vulcan,TahmKench,Ssumday,Tryndamere,Closer,JarvanIV,Abbedagge,Viktor,FBI,Senna,huhi,Sett
2022,Spring,Week 2,⁠⁠TL,⁠⁠FLY,⁠⁠FLY,12.3,Caitlyn,Thresh,TahmKench,XinZhao,LeeSin,Zeri,Gwen,Karma,Rakan,Nautilus,Kumo,Graves,Josedeodo,JarvanIV,toucouille,Orianna,Johnsun,Jinx,aphromoo,Braum,Bwipo,Jayce,Santorin,Trundle,Bjergsen,Corki,Hans,Aphelios,Eyla,Leona
2022,Spring,Week 2,⁠⁠DIG,⁠⁠CLG,⁠⁠CLG,12.3,JarvanIV,Thresh,Olaf,Nautilus,Leona,Gwen,Zeri,Ryze,TwistedFate,Ahri,Jenkins,Graves,Contractz,XinZhao,Palafox,Orianna,Luger,Jhin,Poome,Yuumi,FakeGod,Tryndamere,River,Poppy,Blue,Corki,Neo,Jinx,Biofrost,Karma
2022,Spring,Week 3,⁠⁠GG,⁠⁠100,⁠⁠100,12.3,Karma,JarvanIV,Caitlyn,Olaf,Poppy,Zeri,Gwen,TahmKench,Ryze,Viktor,Licorice,Gnar,Pridestalkr,XinZhao,Ablazeolive,Zilean,Lost,Aphelios,Olleh,Leona,Ssumday,Jayce,Closer,Trundle,Abbedagge,Corki,FBI,Jinx,huhi,Thresh
2022,Spring,Week 3,⁠⁠IMT,⁠⁠TSM,⁠⁠IMT,12.3,Corki,Caitlyn,TahmKench,JarvanIV,Graves,Zeri,Gwen,Karma,Olaf,XinZhao,Huni,Lulu,Spica,Udyr,Keaiduo,Orianna,Tactical,Jinx,Yursan,Nautilus,Revenge,Camille,Xerxe,Hecarim,PowerOfEvil,Ahri,WildTurtle,Aphelios,Destiny,Thresh
2022,Spring,Week 3,⁠⁠TL,⁠⁠EG,⁠⁠TL,12.3,Ryze,Tryndamere,Hecarim,TahmKench,Trundle,Zeri,Gwen,Thresh,Karma,Jayce,Bwipo,Graves,Santorin,Volibear,Bjergsen,Veigar,Hans,Jinx,CoreJJ,Nautilus,Impact,Gnar,Inspired,XinZhao,jojopyun,Corki,Danny,Jhin,Vulcan,Leona
2022,Spring,Week 3,⁠⁠FLY,⁠⁠DIG,⁠⁠DIG,12.3,Gwen,Karma,Jinx,XinZhao,Tryndamere,JarvanIV,Caitlyn,Hecarim,Viktor,Ryze,FakeGod,Graves,River,Udyr,Blue,Orianna,Neo,Zeri,Biofrost,Yuumi,Kumo,Irelia,Josedeodo,LeeSin,toucouille,Corki,Johnsun,Senna,aphromoo,TahmKench
2022,Spring,Week 3,⁠⁠CLG,⁠⁠C9,⁠⁠CLG,12.3,Karthus,Udyr,Olaf,JarvanIV,Renekton,Zeri,Gwen,Yuumi,Caitlyn,Jhin,Jenkins,Camille,Contractz,Hecarim,Palafox,Ryze,Luger,Sivir,Poome,Karma,Summit,Gnar,Blaber,XinZhao,Fudge,Corki,Berserker,Jinx,Winsome,Thresh
2022,Spring,Week 3,⁠⁠IMT,⁠⁠EG,⁠⁠EG,12.3,Veigar,Caitlyn,Hecarim,Camille,XinZhao,Zeri,Gwen,Karma,Olaf,Udyr,Impact,Gragas,Inspired,JarvanIV,jojopyun,Corki,Danny,Aphelios,Vulcan,Thresh,Revenge,Graves,Xerxe,Volibear,PowerOfEvil,Orianna,WildTurtle,Jinx,Destiny,Nautilus
2022,Spring,Week 3,⁠⁠FLY,⁠⁠100,⁠⁠100,12.3,TahmKench,Karma,Gwen,JarvanIV,Irelia,Caitlyn,Zeri,Ryze,Jayce,Olaf,Ssumday,Gnar,Closer,Trundle,Abbedagge,Corki,FBI,Aphelios,huhi,Leona,Kumo,Tryndamere,Josedeodo,Hecarim,toucouille,Veigar,Johnsun,Jinx,aphromoo,Thresh
2022,Spring,Week 3,⁠⁠TSM,⁠⁠C9,⁠⁠C9,12.3,Corki,Caitlyn,JarvanIV,TahmKench,Chogath,Gwen,Zeri,Lulu,Nautilus,Olaf,Huni,Karma,Spica,XinZhao,Keaiduo,Ryze,Tactical,Jinx,Yursan,Alistar,Summit,Camille,Blaber,Nocturne,Fudge,Orianna,Berserker,Karthus,Winsome,Senna
2022,Spring,Week 3,⁠⁠GG,⁠⁠DIG,⁠⁠GG,12.3,Karma,Caitlyn,JarvanIV,Lulu,Jayce,TahmKench,Gwen,Zeri,Orianna,Zilean,Licorice,Gnar,Pridestalkr,Hecarim,Ablazeolive,Veigar,Lost,Jinx,Olleh,Thresh,FakeGod,Tryndamere,River,XinZhao,Blue,Corki,Neo,Aphelios,Biofrost,Leona
2022,Spring,Week 3,⁠⁠TL,⁠⁠CLG,⁠⁠CLG,12.3,Corki,Zilean,Caitlyn,Veigar,Renekton,Gwen,Hecarim,Zeri,Rakan,Kennen,Jenkins,Camille,Contractz,XinZhao,Palafox,Ahri,Luger,Jinx,Poome,Lulu,Bwipo,Jayce,Santorin,Trundle,Bjergsen,Viktor,Hans,Varus,CoreJJ,TahmKench
2022,Spring,Week 4,⁠⁠DIG,⁠⁠C9,⁠⁠DIG,12.4,Karma,JarvanIV,TahmKench,Ryze,Sylas,Caitlyn,Zeri,Gwen,Camille,Irelia,Summit,Gnar,Blaber,Hecarim,Fudge,Ahri,Berserker,Jinx,Winsome,Leona,FakeGod,Jayce,River,LeeSin,Blue,Zoe,Neo,Aphelios,Biofrost,Thresh
2022,Spring,Week 4,⁠⁠TL,⁠⁠GG,⁠⁠TL,12.4,Jayce,Graves,Corki,Gangplank,,Zeri,Gwen,TahmKench,JarvanIV,Qiyana,Licorice,Gnar,Pridestalkr,XinZhao,Ablazeolive,Ryze,Lost,Jinx,Olleh,Thresh,Bwipo,Viego,Santorin,Hecarim,Bjergsen,TwistedFate,Hans,Caitlyn,Eyla,Lux
2022,Spring,Week 4,⁠⁠TSM,⁠⁠100,⁠⁠100,12.4,Sett,TahmKench,Caitlyn,XinZhao,Volibear,Zeri,Ryze,Corki,Kalista,Aphelios,Huni,Gwen,Spica,JarvanIV,Keaiduo,Viktor,Tactical,Jhin,Yursan,Nautilus,Ssumday,Tryndamere,Closer,LeeSin,Abbedagge,Ahri,FBI,Jinx,huhi,Thresh
2022,Spring,Week 4,⁠⁠IMT,⁠⁠CLG,⁠⁠CLG,12.4,Ahri,Udyr,Jinx,Viego,Volibear,Zeri,Yuumi,Hecarim,Kennen,LeeSin,Jenkins,Gangplank,Contractz,Gwen,Palafox,Ryze,Luger,Jhin,Poome,TahmKench,Revenge,Akali,Xerxe,XinZhao,PowerOfEvil,Orianna,WildTurtle,Caitlyn,Destiny,Karma
2022,Spring,Week 4,⁠⁠TL,⁠⁠DIG,⁠⁠DIG,12.4,Graves,Jayce,Jinx,Zilean,Gwen,JarvanIV,Zeri,Caitlyn,Leblanc,Ahri,FakeGod,Gnar,River,Hecarim,Blue,Orianna,Neo,Ezreal,Biofrost,Karma,Bwipo,Camille,Santorin,Trundle,Bjergsen,Ryze,Hans,Aphelios,Eyla,Thresh
2022,Spring,Week 4,⁠⁠TSM,⁠⁠CLG,⁠⁠TSM,12.4,Corki,Ryze,Thresh,Tryndamere,XinZhao,Karma,Gwen,Zeri,Syndra,Ahri,Jenkins,Graves,Contractz,LeeSin,Palafox,Sylas,Luger,Jinx,Poome,TahmKench,Huni,Gnar,Spica,Hecarim,Keaiduo,Viktor,Tactical,Aphelios,Yursan,Leona
2022,Spring,Week 4,⁠⁠C9,⁠⁠100,⁠⁠C9,12.4,Karma,Caitlyn,TahmKench,Tryndamere,Thresh,Zeri,Gwen,Veigar,Jayce,Gnar,Summit,Graves,Blaber,Hecarim,Fudge,Ryze,Berserker,Aphelios,Winsome,Alistar,Ssumday,Irelia,Closer,LeeSin,Abbedagge,Ahri,FBI,Jinx,huhi,Leona
2022,Spring,Week 4,⁠⁠EG,⁠⁠FLY,⁠⁠EG,12.4,Ahri,Hecarim,Jinx,XinZhao,Tryndamere,Ryze,Zeri,Gnar,Gragas,Jayce,Impact,Akali,Inspired,LeeSin,jojopyun,Viktor,Danny,Aphelios,Vulcan,Rakan,Kumo,Gwen,Josedeodo,Viego,toucouille,Corki,Johnsun,Jhin,aphromoo,TahmKench
2022,Spring,Week 4,⁠⁠IMT,⁠⁠FLY,⁠⁠FLY,12.4,Ahri,Caitlyn,Hecarim,Irelia,Tryndamere,Zeri,Gwen,Karma,LeeSin,Udyr,Kumo,Graves,Josedeodo,Trundle,toucouille,Syndra,Johnsun,Jinx,aphromoo,Thresh,Revenge,Camille,Xerxe,Volibear,PowerOfEvil,Orianna,Arrow,Aphelios,Destiny,TahmKench
2022,Spring,Week 4,⁠⁠GG,⁠⁠EG,⁠⁠GG,12.4,XinZhao,Ahri,TahmKench,Tryndamere,Irelia,Zeri,Gwen,Jinx,Zilean,Viktor,Impact,Graves,Inspired,Hecarim,jojopyun,Syndra,Danny,Aphelios,Vulcan,Nautilus,Licorice,Gnar,Pridestalkr,Udyr,Ablazeolive,Ryze,Lost,Jhin,Olleh,Thresh
2022,Spring,Week 4,⁠⁠TSM,⁠⁠TL,⁠⁠TSM,12.4,Ryze,Gwen,Tryndamere,Jayce,Leblanc,Karma,Zeri,TahmKench,Trundle,Volibear,Bwipo,Graves,Santorin,XinZhao,Bjergsen,Zilean,Hans,Jinx,Eyla,Thresh,Huni,Rumble,Spica,LeeSin,Keaiduo,Sylas,Tactical,Jhin,Yursan,Nautilus
2022,Spring,Week 4,⁠⁠EG,⁠⁠CLG,⁠⁠EG,12.4,Aphelios,Jhin,Karma,Tristana,Renekton,Ahri,Jinx,Caitlyn,Syndra,Gwen,Jenkins,Camille,Contractz,Viego,Palafox,Galio,Luger,Zeri,Poome,Yuumi,Impact,Tryndamere,Inspired,LeeSin,jojopyun,Ryze,Danny,Kaisa,Vulcan,Nautilus
2022,Spring,Week 4,⁠⁠FLY,⁠⁠C9,⁠⁠FLY,12.4,TahmKench,Tryndamere,Veigar,Syndra,Orianna,Zeri,Ryze,Ahri,Gnar,Irelia,Summit,Jayce,Blaber,Hecarim,Fudge,Corki,Berserker,Aphelios,Winsome,Leona,Kumo,Graves,Josedeodo,Udyr,toucouille,Zilean,Johnsun,Jinx,aphromoo,Braum
2022,Spring,Week 4,⁠⁠IMT,⁠⁠GG,⁠⁠GG,12.4,Ryze,TahmKench,Gnar,Zilean,Tryndamere,Zeri,Gwen,Volibear,Syndra,Viktor,Revenge,Graves,Xerxe,Viego,PowerOfEvil,Orianna,Arrow,Jinx,Destiny,Nautilus,Licorice,Irelia,Pridestalkr,Hecarim,Ablazeolive,Corki,Lost,Aphelios,Olleh,Thresh
2022,Spring,Week 4,⁠⁠DIG,⁠⁠100,⁠⁠DIG,12.4,Ryze,Gwen,Karma,Ahri,Tryndamere,JarvanIV,Zeri,Caitlyn,Orianna,Zoe,FakeGod,Graves,River,Hecarim,Blue,Viktor,Neo,Jinx,Biofrost,TahmKench,Ssumday,Jayce,Closer,XinZhao,Abbedagge,Corki,FBI,Aphelios,huhi,Nautilus
2022,Spring,Week 5,⁠⁠IMT,⁠⁠EG,⁠⁠IMT,12.4,Ahri,Volibear,Hecarim,Camille,Gwen,Zeri,Jinx,Aphelios,LeeSin,Olaf,Impact,Sion,Inspired,Trundle,jojopyun,Ryze,Danny,Ezreal,Vulcan,Karma,Revenge,Graves,Xerxe,XinZhao,PowerOfEvil,Orianna,Arrow,Caitlyn,Destiny,Nautilus
2022,Spring,Week 5,⁠⁠TSM,⁠⁠FLY,⁠⁠FLY,12.4,TahmKench,Gwen,Karma,Irelia,Jinx,Ryze,Hecarim,Yuumi,Gnar,Alistar,Huni,Tryndamere,Spica,RekSai,Takeover,Ahri,Tactical,Zeri,Shenyi,Leona,Kumo,Gragas,Josedeodo,LeeSin,toucouille,Syndra,Johnsun,Aphelios,aphromoo,Nautilus
2022,Spring,Week 5,⁠⁠TL,⁠⁠100,⁠⁠TL,12.4,Ahri,Hecarim,Sett,Gwen,Gnar,Graves,TahmKench,TwistedFate,Volibear,Trundle,Bwipo,Gragas,Santorin,XinZhao,Bjergsen,Viktor,Hans,Zeri,CoreJJ,Nautilus,Ssumday,Tryndamere,Closer,LeeSin,Abbedagge,Ryze,FBI,Jinx,huhi,Leona
2022,Spring,Week 5,⁠⁠GG,⁠⁠C9,⁠⁠GG,12.4,Ryze,Yuumi,Jinx,Corki,Veigar,Zeri,Gwen,Aphelios,Jayce,Zilean,Summit,Gnar,Blaber,Hecarim,Fudge,Ahri,Berserker,Jhin,Winsome,Nautilus,Licorice,Graves,Pridestalkr,XinZhao,Ablazeolive,Viktor,Lost,Ezreal,Olleh,Karma
2022,Spring,Week 5,⁠⁠DIG,⁠⁠CLG,⁠⁠CLG,12.4,JarvanIV,TahmKench,Karma,Leblanc,Sylas,Zeri,Gwen,Ryze,Camille,Tryndamere,Jenkins,Kennen,Contractz,Hecarim,Palafox,Zilean,Luger,Jinx,Poome,Lulu,FakeGod,Graves,River,Volibear,Blue,Corki,Neo,Caitlyn,Biofrost,Lux
2022,Spring,Week 5,⁠⁠IMT,⁠⁠TL,⁠⁠TL,12.4,Zilean,Ryze,Zeri,Tryndamere,Veigar,Volibear,Hecarim,Jinx,Lux,Karma,Revenge,Graves,Xerxe,XinZhao,PowerOfEvil,Ahri,Arrow,Caitlyn,Destiny,Leona,Bwipo,Shyvana,Santorin,Viego,Bjergsen,Viktor,Hans,Jhin,CoreJJ,Nautilus
2022,Spring,Week 5,⁠⁠CLG,⁠⁠100,⁠⁠100,12.4,Nautilus,Jhin,Caitlyn,Jayce,Renata,Hecarim,Ryze,Zeri,Zilean,Vex,Jenkins,Gnar,Contractz,Viego,Palafox,Viktor,Luger,Jinx,Poome,TahmKench,Ssumday,Tryndamere,Closer,LeeSin,Abbedagge,Ahri,FBI,Aphelios,huhi,Thresh
2022,Spring,Week 5,⁠⁠EG,⁠⁠C9,⁠⁠C9,12.4,Ahri,Jayce,Caitlyn,Gnar,Graves,Zeri,TahmKench,Hecarim,Tryndamere,LeeSin,Impact,Akali,Inspired,Khazix,jojopyun,Syndra,Danny,Aphelios,Vulcan,Nautilus,Summit,Gwen,Blaber,Volibear,Fudge,Ryze,Berserker,Ezreal,Winsome,Karma
2022,Spring,Week 5,⁠⁠FLY,⁠⁠DIG,⁠⁠FLY,12.4,Caitlyn,Karma,Thresh,Gnar,Gragas,Zeri,Gwen,LeeSin,Ahri,Orianna,Kumo,Tryndamere,Josedeodo,Hecarim,toucouille,Zilean,Johnsun,Aphelios,aphromoo,Nautilus,FakeGod,Malphite,River,JarvanIV,Blue,Viktor,Neo,Jinx,Biofrost,TahmKench
2022,Spring,Week 5,⁠⁠TSM,⁠⁠GG,⁠⁠GG,12.4,Ryze,Ahri,Gwen,Akali,Jayce,Zeri,Karma,Hecarim,Irelia,Tryndamere,Licorice,Gnar,Pridestalkr,LeeSin,Ablazeolive,Corki,Lost,Jinx,Olleh,Nautilus,Huni,Graves,Spica,XinZhao,Takeover,Sylas,Tactical,Varus,Shenyi,TahmKench
2022,Spring,Week 6,⁠⁠GG,⁠⁠100,⁠⁠100,12.5,Aphelios,Ahri,Zeri,Renata,Tryndamere,Hecarim,TahmKench,Graves,Volibear,Gragas,Licorice,Gnar,Pridestalkr,Nocturne,Ablazeolive,Ryze,Lost,Kaisa,Olleh,Nautilus,Ssumday,Sion,Closer,LeeSin,Abbedagge,Viktor,FBI,Jinx,huhi,Leona
2022,Spring,Week 6,⁠⁠FLY,⁠⁠CLG,⁠⁠CLG,12.5,Ryze,Yuumi,Diana,Camille,Gwen,Hecarim,LeeSin,Jinx,Ahri,Zilean,Kumo,Tryndamere,Josedeodo,Volibear,toucouille,Syndra,Johnsun,Zeri,aphromoo,Renata,Jenkins,Kled,Contractz,Trundle,Palafox,TwistedFate,Luger,Kaisa,Poome,Nautilus
2022,Spring,Week 6,⁠⁠TL,⁠⁠EG,⁠⁠EG,12.5,Graves,Aphelios,Volibear,Viktor,Jayce,Zeri,Jinx,Hecarim,Ashe,Caitlyn,Impact,Gnar,Inspired,LeeSin,jojopyun,Ryze,Danny,Jhin,Vulcan,Renata,Bwipo,Lucian,Santorin,XinZhao,Bjergsen,Galio,Hans,Ezreal,CoreJJ,Karma
2022,Spring,Week 6,⁠⁠IMT,⁠⁠C9,⁠⁠IMT,12.5,Orianna,Renata,Volibear,Irelia,Syndra,Zeri,Hecarim,Jayce,XinZhao,Ryze,Summit,Gnar,Blaber,Diana,Fudge,Lucian,Berserker,Jinx,Winsome,TahmKench,Revenge,Tryndamere,Xerxe,LeeSin,PowerOfEvil,Ahri,Arrow,Aphelios,Destiny,Thresh
2022,Spring,Week 6,⁠⁠TSM,⁠⁠DIG,⁠⁠DIG,12.5,Karma,Tryndamere,TahmKench,Syndra,Viktor,Ryze,LeeSin,Hecarim,Leona,Nautilus,Huni,Graves,Spica,Volibear,Takeover,Ahri,Tactical,Jinx,Shenyi,Thresh,FakeGod,Gwen,River,JarvanIV,Blue,Akali,Neo,Caitlyn,Biofrost,Lux
